batch_id,date,product,line,api_lot,shift,granulation_water_pct,massing_time_min,inlet_air_temp_c,blend_time_min,compression_force_kn,press_speed_rpm,api_d90_um,room_humidity_pct,tablet_weight_mg,hardness_kp,dissolution_30min_pct,assay_pct,content_uniformity_rsd
B24-1017,2024-02-28,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.33,6.25,60.15,15.0,12.07,46.1,43.1,51.3,250.21,5.86,90.85,102.86,2.45
B24-1018,2024-03-02,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,30.73,6.5,59.78,14.55,11.59,46.1,46.8,48.8,244.64,5.84,90.66,99.41,2.5
B24-1019,2024-03-05,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,30.34,5.79,62.38,14.86,11.43,43.7,44.9,50.6,247.84,5.56,90.26,99.44,2.41
B24-1020,2024-03-08,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.11,5.83,59.07,14.89,11.53,42.4,44.6,49.7,251.51,5.03,90.66,100.8,2.49
B24-1021,2024-03-11,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.63,5.81,63.09,14.84,11.68,50.8,43.6,52.2,252.67,6.3,91.5,100.84,2.19
B24-1022,2024-03-14,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.77,6.32,59.66,16.06,11.42,45.8,47.4,47.4,252.44,5.5,91.02,99.84,2.74
B24-1023,2024-03-17,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,33.55,6.6,58.08,14.94,12.08,43.2,44.7,48.4,246.5,5.63,92.9,99.53,3.07
B24-1024,2024-03-20,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.88,5.82,60.1,14.85,12.36,47.3,44.1,59.2,250.66,6.79,92.53,100.54,2.29
B24-1025,2024-03-23,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.23,5.83,58.39,13.74,11.21,44.7,44.3,49.1,252.23,5.54,92.61,98.59,2.85
B24-1026,2024-03-26,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.28,6.13,58.87,14.46,12.01,44.4,46.1,49.7,246.35,5.55,91.84,99.33,2.54
B24-1027,2024-03-29,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.67,5.9,60.6,14.84,11.89,46.4,45.7,58.5,249.98,6.57,86.82,100.04,2.71
B24-1028,2024-04-01,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.77,6.38,60.83,14.59,12.17,41.8,45.8,61.7,250.6,6.28,86.17,100.93,3.23
B24-1029,2024-04-04,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.15,5.1,59.07,15.83,11.99,45.9,45.9,49.5,249.34,6.02,93.24,99.67,2.62
B24-1030,2024-04-07,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.5,5.67,61.48,14.9,11.27,49.8,49.3,51.8,245.93,6.08,86.84,97.93,2.02
B24-1031,2024-04-10,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.73,5.69,61.74,15.77,11.37,46.2,44.2,53.9,249.28,5.55,89.66,98.2,2.52
B24-1032,2024-04-13,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,32.85,5.07,62.15,15.04,12.01,44.1,44.0,58.0,249.28,5.97,90.19,98.63,2.94
B24-1033,2024-04-16,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.09,5.61,60.79,15.02,12.51,43.7,43.4,49.7,249.67,6.17,91.71,98.56,2.33
B24-1034,2024-04-19,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.01,5.63,62.05,14.95,10.89,44.0,46.2,51.9,248.76,5.23,89.49,99.81,2.97
B24-1035,2024-04-22,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,34.08,5.92,57.18,15.0,12.17,44.4,47.3,54.8,249.03,6.29,88.19,98.69,2.34
B24-1036,2024-04-25,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.18,6.45,59.52,16.03,12.59,44.1,44.8,53.6,249.91,6.48,92.01,99.64,1.74
B24-1037,2024-04-28,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,33.15,5.9,58.7,13.61,11.92,47.3,43.3,51.0,250.97,5.73,90.86,98.59,2.68
B24-1038,2024-05-01,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.07,5.59,60.18,13.8,12.28,40.7,43.4,51.5,249.33,6.15,89.34,99.04,1.9
B24-1039,2024-05-04,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.46,5.98,59.14,14.67,11.65,47.2,46.3,47.6,249.1,5.74,92.61,101.32,2.52
B24-1040,2024-05-07,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.95,6.42,59.75,15.01,11.94,44.1,46.5,50.7,250.2,5.45,91.54,100.73,3.09
B24-1041,2024-05-10,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.86,5.61,62.82,15.41,11.19,45.9,46.1,50.4,245.77,4.82,90.73,100.18,1.73
B24-1042,2024-05-13,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.38,5.64,59.75,15.28,10.83,42.2,43.7,51.6,251.05,5.12,89.98,99.61,1.88
B24-1043,2024-05-16,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,32.34,6.22,60.62,14.77,12.47,48.3,45.5,49.0,250.0,5.59,90.29,99.43,2.14
B24-1044,2024-05-19,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.32,5.91,59.65,15.61,11.51,48.1,45.2,51.8,250.09,5.75,90.84,100.61,2.39
B24-1045,2024-05-22,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,32.53,6.26,60.11,15.62,11.77,47.4,45.4,53.1,252.11,5.71,92.49,100.89,2.28
B24-1046,2024-05-25,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.87,5.99,60.01,15.11,11.31,41.2,46.7,50.2,245.7,5.76,88.72,99.05,3.13
B24-1047,2024-05-28,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.29,6.28,60.67,15.58,11.3,47.1,45.4,50.4,245.66,5.29,91.42,100.27,2.82
B24-1048,2024-05-31,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.77,5.59,61.75,15.16,11.91,46.0,46.4,49.2,250.6,6.19,91.37,97.83,2.74
B24-1049,2024-06-03,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.36,6.0,62.47,14.66,11.64,41.0,45.1,48.7,249.98,5.43,88.08,100.1,2.62
B24-1050,2024-06-06,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.75,5.92,60.46,15.42,12.19,44.9,45.6,46.1,250.37,6.2,92.92,101.01,2.62
B24-1051,2024-06-09,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.75,5.51,60.88,15.07,12.23,45.9,46.3,48.9,248.98,6.48,88.19,99.72,2.21
B24-1052,2024-06-12,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,30.53,5.37,58.27,15.0,12.16,46.4,42.1,47.2,251.46,6.02,93.72,102.0,2.7
B24-1053,2024-06-15,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.73,6.27,59.87,15.88,12.12,45.4,44.4,53.4,252.05,6.46,90.72,99.38,1.89
B24-1054,2024-06-18,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,30.41,5.86,61.41,13.53,12.79,45.7,44.1,51.4,251.06,6.34,92.71,99.65,3.01
B24-1055,2024-06-21,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,30.8,5.59,61.3,14.15,11.47,48.7,43.7,47.5,249.43,5.76,93.4,99.62,3.04
B24-1056,2024-06-24,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,33.09,5.96,60.32,14.29,11.97,48.1,44.4,43.6,245.36,6.39,88.32,99.6,2.66
B24-1057,2024-06-27,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.72,6.45,61.33,14.78,12.57,37.8,48.0,42.2,251.69,6.5,89.06,99.79,2.61
B24-1058,2024-06-30,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.42,5.09,60.74,14.85,12.63,44.2,43.3,70.5,252.69,7.18,82.86,100.06,2.6
B24-1059,2024-07-03,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,30.8,5.4,61.8,14.1,11.29,44.6,46.9,45.5,251.42,5.12,91.51,100.57,1.59
B24-1060,2024-07-06,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,29.63,5.63,60.43,14.41,11.84,40.6,41.6,45.7,248.06,5.25,95.31,101.28,2.54
B24-1061,2024-07-09,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.57,6.58,59.47,14.48,12.68,45.2,44.3,38.6,251.48,6.24,94.52,99.79,2.5
B24-1062,2024-07-12,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,33.94,6.11,60.5,16.47,12.25,48.1,45.3,46.2,251.89,6.54,91.98,101.49,2.27
B24-1063,2024-07-15,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.35,6.31,55.6,16.08,12.1,42.3,46.2,44.4,253.43,6.18,90.93,99.66,2.68
B24-1064,2024-07-18,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.55,5.54,60.57,14.75,11.89,45.8,46.4,39.3,248.07,5.97,89.32,100.74,2.58
B24-1065,2024-07-21,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,32.37,5.55,54.53,14.78,11.81,42.7,46.6,40.8,249.5,5.38,91.83,99.07,2.16
B24-1066,2024-07-24,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,30.75,6.18,57.41,14.31,12.14,43.3,44.3,42.7,251.64,6.34,93.1,100.92,2.51
B24-1067,2024-07-27,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.76,6.02,60.68,13.86,11.87,48.7,44.1,41.7,250.13,5.57,91.83,101.97,2.65
B24-1068,2024-07-30,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.08,6.22,60.72,14.93,11.98,43.6,46.7,40.3,247.54,6.35,92.54,99.84,2.64
B24-1069,2024-08-02,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.93,5.92,58.26,14.4,12.04,46.2,44.6,40.5,250.91,7.07,93.31,97.35,2.64
B24-1070,2024-08-05,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.63,6.11,58.93,14.95,11.66,40.3,42.4,39.7,251.27,5.7,94.9,99.38,2.8
B24-1071,2024-08-08,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,32.28,6.06,62.06,14.04,12.27,49.7,42.7,40.6,250.19,6.57,88.52,100.97,2.1
B24-1072,2024-08-11,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.53,6.31,59.27,14.54,13.46,46.5,43.2,44.2,250.48,7.11,89.89,100.43,2.55
B24-1073,2024-08-14,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.45,6.32,63.36,15.09,11.11,44.5,46.0,31.8,249.43,4.6,98.4,100.31,3.05
B24-1074,2024-08-17,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.72,5.35,60.0,15.22,12.16,46.4,45.3,38.5,253.25,5.97,92.18,101.2,1.79
B24-1075,2024-08-20,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,33.3,5.1,60.61,15.25,11.62,41.5,46.4,39.4,248.02,5.19,89.96,100.63,2.6
B24-1076,2024-08-23,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.22,6.4,62.43,14.21,12.29,48.0,44.1,39.5,248.71,5.83,95.62,101.02,2.34
B24-1077,2024-08-26,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.29,6.48,60.2,15.51,12.02,44.2,45.3,37.3,250.02,6.6,92.58,101.22,2.29
B24-1078,2024-08-29,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,33.07,5.59,58.5,14.52,12.38,44.5,46.3,32.9,251.93,6.4,94.81,101.48,2.27
B24-1079,2024-09-01,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.85,5.26,59.84,15.38,12.59,43.8,44.4,39.0,246.71,6.6,93.22,100.55,2.34
B24-1080,2024-09-04,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,33.12,6.04,59.95,14.99,12.1,43.5,45.9,43.0,247.12,5.93,92.67,100.99,3.28
B24-1081,2024-09-07,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.65,6.37,57.95,14.17,12.57,46.7,43.7,33.0,245.52,6.47,94.95,99.33,2.05
B24-1082,2024-09-10,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,33.16,6.72,59.62,14.81,10.83,45.6,44.3,40.1,250.07,5.36,95.11,99.26,2.02
B24-1083,2024-09-13,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,32.11,6.21,58.89,15.22,12.8,46.6,44.2,36.4,247.54,6.71,96.84,101.97,1.91
B24-1084,2024-09-16,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,32.21,5.85,61.39,15.37,12.19,45.0,42.6,37.0,249.15,6.34,95.92,100.38,3.02
B24-1085,2024-09-19,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,33.25,5.64,60.05,14.92,12.54,46.3,46.0,34.0,251.46,6.43,90.45,100.85,2.38
B24-1086,2024-09-22,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.71,6.0,59.58,15.92,11.39,44.0,44.1,36.1,248.59,5.33,95.57,100.5,2.3
B24-1087,2024-09-25,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.25,5.88,59.84,15.6,11.58,50.6,45.0,40.9,250.51,5.32,95.29,99.6,2.25
B24-1088,2024-09-28,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.64,5.59,60.33,14.85,12.07,41.1,46.0,38.8,249.34,5.25,95.34,99.95,2.19
B24-1089,2024-10-01,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.36,6.82,60.93,15.45,11.99,48.2,45.9,42.2,251.48,6.0,91.34,101.76,2.38
B24-1090,2024-10-04,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,30.75,6.71,58.5,16.16,12.14,48.4,46.3,40.6,251.05,6.24,93.67,101.07,3.38
B24-1091,2024-10-07,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.51,6.45,58.44,16.18,12.56,42.9,44.8,38.4,248.48,5.96,94.82,98.59,2.87
B24-1092,2024-10-10,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.57,5.63,61.66,14.26,11.16,50.6,44.2,42.4,249.63,5.44,97.68,99.47,2.23
B24-1093,2024-10-13,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.92,6.34,59.38,14.44,12.55,47.5,44.8,38.5,252.3,6.56,91.44,101.74,2.83
B24-1094,2024-10-16,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,30.08,6.26,57.87,15.89,12.08,47.4,41.6,39.8,250.87,5.39,94.65,100.12,1.87
B24-1095,2024-10-19,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.37,6.18,60.67,14.37,12.0,45.1,42.1,36.5,246.93,5.68,94.98,97.77,1.74
B24-1096,2024-10-22,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,30.65,6.5,60.7,14.21,11.38,44.5,42.4,37.8,251.44,5.6,94.41,101.76,2.89
B24-1097,2024-10-25,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.34,6.25,57.7,14.71,12.39,44.5,43.0,35.6,247.61,6.45,92.86,100.63,2.91
B24-1098,2024-10-28,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.2,6.3,60.34,15.25,10.95,46.0,45.8,40.9,253.11,4.74,89.27,100.02,2.92
B24-1099,2024-10-31,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.86,6.25,61.1,14.94,12.5,48.5,43.2,34.6,252.25,6.59,93.53,99.57,2.23
B24-1100,2024-11-03,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.8,6.14,60.56,14.61,11.45,45.5,44.2,40.7,250.64,5.91,93.89,101.03,2.45
B24-1101,2024-11-06,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.87,5.29,60.95,14.6,12.25,42.7,47.6,38.0,250.35,6.41,90.59,99.24,2.99
B24-1102,2024-11-09,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.16,6.03,57.89,14.57,12.18,47.1,44.3,42.3,249.54,6.18,95.77,101.09,2.69
B24-1103,2024-11-12,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.19,5.78,60.5,14.47,12.84,47.3,46.5,41.3,251.49,6.62,91.18,100.39,2.5
B24-1104,2024-11-15,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.57,5.49,59.55,16.37,12.19,46.6,43.1,44.8,249.18,5.99,95.13,100.82,1.55
B24-1105,2024-11-18,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.53,6.67,59.28,15.18,11.95,46.9,44.6,41.9,250.52,6.18,93.01,100.23,2.5
B24-1106,2024-11-21,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,32.31,6.69,61.31,15.53,12.07,44.3,43.1,35.3,251.92,6.1,96.0,100.02,2.76
B24-1107,2024-11-24,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.45,6.54,62.22,14.71,12.98,42.7,44.3,40.1,248.76,6.98,92.62,101.03,2.03
B24-1108,2024-11-27,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.24,6.1,62.69,14.89,12.63,42.8,46.7,37.2,248.64,6.51,94.11,99.0,2.86
B24-1109,2024-11-30,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,33.63,6.54,61.97,14.57,12.19,40.9,41.5,39.5,247.37,6.32,94.63,98.04,2.52
B24-1110,2024-12-03,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.93,6.0,59.84,13.41,12.28,45.6,45.9,45.9,247.66,6.29,91.83,100.04,3.08
B24-1111,2024-12-06,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.75,6.08,60.53,14.17,11.64,44.8,45.5,43.7,245.98,5.96,92.61,100.36,3.0
B24-1112,2024-12-09,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.4,5.56,61.15,13.91,12.63,43.9,43.8,61.5,251.61,6.81,83.76,100.09,2.33
B24-1113,2024-12-12,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.17,6.16,60.18,13.65,11.58,37.6,42.1,39.5,253.98,5.14,96.18,99.91,1.91
B24-1114,2024-12-15,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.0,6.02,60.2,14.28,12.86,41.9,45.1,43.0,253.14,6.0,95.85,99.36,2.4
B24-1115,2024-12-18,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.29,5.48,61.24,15.79,12.56,47.8,43.9,39.7,246.42,7.1,91.89,101.18,2.68
B24-1116,2024-12-21,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.94,5.98,59.91,14.97,13.71,43.3,45.5,41.7,251.59,7.5,91.36,99.94,2.31
B24-1117,2024-12-24,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.27,5.97,58.91,15.77,11.99,45.9,45.0,45.1,253.13,5.42,94.61,99.77,2.11
B24-1118,2024-12-27,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.04,6.72,59.38,15.25,12.51,41.5,48.2,48.0,249.0,6.08,91.43,99.76,1.89
B24-1119,2024-12-30,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.39,6.36,60.95,15.47,13.48,48.6,44.5,46.8,250.22,7.64,90.16,102.41,3.11
B24-1120,2025-01-02,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.72,6.0,60.0,14.46,13.2,44.6,43.0,38.4,245.58,6.91,89.5,97.88,2.81
B24-1121,2025-01-05,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,32.59,6.1,60.51,15.31,12.27,45.7,45.4,46.6,250.59,6.07,92.26,100.68,2.78
B24-1122,2025-01-08,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.87,6.02,61.01,15.44,12.75,50.8,45.4,46.3,247.66,7.3,86.54,98.33,2.84
B24-1123,2025-01-11,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.48,5.92,59.44,14.65,12.66,48.8,47.7,47.7,250.44,6.31,92.02,99.74,2.92
B24-1124,2025-01-14,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.44,5.57,61.13,15.34,12.82,44.2,46.7,51.8,246.57,6.4,89.7,99.66,2.44
B24-1125,2025-01-17,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,32.15,5.94,60.57,15.34,12.35,43.5,45.7,41.1,251.19,6.33,93.55,97.84,2.42
B24-1126,2025-01-20,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,30.84,5.7,58.15,14.67,12.68,44.2,47.9,45.9,252.25,6.69,88.03,100.3,2.52
B24-1127,2025-01-23,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.95,5.5,62.16,14.33,11.94,46.3,42.6,49.9,248.28,6.16,89.77,99.31,3.54
B24-1128,2025-01-26,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.21,6.2,59.25,14.29,12.83,44.7,43.7,43.7,247.5,7.01,92.24,97.41,2.76
B24-1129,2025-01-29,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.28,6.16,57.52,15.05,13.01,44.0,43.1,53.3,245.26,6.89,90.5,100.94,2.21
B24-1130,2025-02-01,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.15,5.29,58.43,15.2,12.69,48.7,44.2,50.3,249.41,6.86,89.74,101.66,2.62
B24-1131,2025-02-04,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,30.84,5.95,58.47,14.52,12.01,44.7,42.2,52.1,248.72,5.91,92.47,101.45,2.03
B24-1132,2025-02-07,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,33.07,6.4,60.08,15.02,13.33,50.7,46.3,48.2,246.59,7.33,93.7,100.4,3.16
B24-1133,2025-02-10,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,33.0,6.42,59.59,15.34,13.04,45.2,44.6,52.6,251.0,6.93,91.18,100.19,2.16
B24-1134,2025-02-13,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.8,6.41,59.49,15.37,12.52,49.5,42.1,53.7,249.01,6.65,93.02,101.61,2.5
B24-1135,2025-02-16,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.29,6.02,60.93,15.93,12.76,45.9,43.0,51.5,247.63,6.94,92.26,102.22,2.69
B24-1136,2025-02-19,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,30.07,5.66,60.51,15.77,12.17,47.4,45.6,51.8,248.78,6.41,92.35,101.55,2.57
B24-1137,2025-02-22,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.07,5.57,60.47,14.4,12.43,43.2,46.7,52.1,252.36,6.32,89.13,98.72,2.71
B24-1138,2025-02-25,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,31.76,6.14,60.61,16.01,12.69,42.9,49.0,49.0,251.33,6.24,85.54,100.63,2.55
B24-1139,2025-02-28,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.14,6.15,60.92,14.68,13.59,46.1,50.8,51.4,249.71,7.41,85.79,100.36,2.82
B24-1140,2025-03-03,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,32.57,6.51,56.84,15.63,12.68,47.5,54.8,51.5,251.36,6.64,86.01,98.26,2.67
B24-1141,2025-03-06,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,33.6,6.44,59.45,15.04,13.34,45.1,52.0,53.3,247.45,7.21,83.75,100.53,2.67
B24-1142,2025-03-09,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,31.06,5.95,56.73,14.75,12.77,41.8,49.7,55.4,250.07,7.33,85.78,102.4,3.37
